"Category","Issue","Severity","AffectedObject","Description","Impact","Remediation","DetectedDate","MitreTechnique","AnssiControl","Weight","SeverityLevel","Details","EstimatedEffort","KnownRisks","BackupRollback","OperationalNotes","TestName"
"Legacy Auth & Name Poisoning","WSUS Delivered over HTTP","Critical","synthetic-object-1.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'WSUS Delivered over HTTP', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'WSUS Delivered over HTTP'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'WSUS Delivered over HTTP'.","09/21/2026 20:17:13","T1210","vuln1_wsus_http","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - converting WSUS to HTTPS requires a certificate, an IIS binding change, and reconfiguring every client's WSUS GPO to the new URL, a coordinated multi-step change across the fleet.","A botched certificate or binding change can temporarily break update delivery to every client pointed at that WSUS server until corrected; switching to HTTPS itself carries no other legitimate compatibility risk.","Moderate - revert the WSUS client GPO to the HTTP URL and the IIS binding to HTTP; requires a Group Policy refresh across clients to fully take effect.","",""
"Coercion & Relay Exposure","WebClient Service Enabled on Domain Controller","Critical","synthetic-object-2.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'WebClient Service Enabled on Domain Controller', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'WebClient Service Enabled on Domain Controller'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'WebClient Service Enabled on Domain Controller'.","09/21/2026 20:17:13","T1187","vuln1_dc_webclient_running","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - stop and disable a single service on each DC.","Disabling WebClient (WebDAV) removes WebDAV redirector functionality on the DC host itself, which is essentially never a legitimate DC use case.","Easy - re-enable and start the service; effective immediately, no data loss.","",""
"Certificate Services","Weak ACL on PKI Container Object (ESC5)","Critical","synthetic-object-3.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Weak ACL on PKI Container Object (ESC5)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Weak ACL on PKI Container Object (ESC5)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Weak ACL on PKI Container Object (ESC5)'.","09/21/2026 20:17:13","T1649","vuln1_adcs_esc5","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - a container-level ACE removal; confirm the trustee isn't a legitimate PKI-management tool or delegated administrator before removing.","Procedural - confirm the trustee isn't an active PKI-management automation account or delegated admin before removing; no realistic legitimate technical break otherwise.","Moderate - export the container's ACL (dsacls or PSPKI) before changing it so the exact ACE can be restored if needed.","",""
"Schema Integrity","Vulnerable Schema Class Allows Arbitrary Object Creation","Critical","synthetic-object-4.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Vulnerable Schema Class Allows Arbitrary Object Creation', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Vulnerable Schema Class Allows Arbitrary Object Creation'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Vulnerable Schema Class Allows Arbitrary Object Creation'.","09/21/2026 20:17:13","T1098","vuln1_schema_class_vulnerable","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - schema changes require Schema Admins and are forest-wide, so validate the change in a lab before applying, and confirm no legitimate application depends on the current (vulnerable) configuration.","Schema modifications are forest-wide and cannot be easily reverted (schema attributes/classes can be deactivated but not fully deleted) - test any corrective change thoroughly in a lab first.","Difficult - schema changes are effectively permanent (classes/attributes can be deactivated, not removed); a system state backup of a schema-master DC before changing anything is the only real rollback path.","",""
"Kerberos Delegation","User Account with Protocol Transition (T2A4D)","Critical","synthetic-object-5.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'User Account with Protocol Transition (T2A4D)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'User Account with Protocol Transition (T2A4D)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'User Account with Protocol Transition (T2A4D)'.","09/21/2026 20:17:13","T1558","vuln1_user_protocol_transition","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - a single-attribute change, but confirm whether the impersonation capability is still required before removing it; migrating to a Group Managed Service Account (as the remediation suggests) is a larger, separate project.","Protocol transition on a user account is a highly consequential but sometimes legitimate impersonation mechanism, so removing it can break the specific service still relying on it.","Easy - restore the TrustedToAuthForDelegation flag and delegation list on the account; effective at next Kerberos ticket request, no data loss.","",""
"User Account","Unconstrained Delegation Enabled","Critical","synthetic-object-6.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Unconstrained Delegation Enabled', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Unconstrained Delegation Enabled'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Unconstrained Delegation Enabled'.","09/21/2026 20:17:13","T1558","vuln1_unconstrained_delegation","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - removing unconstrained delegation without configuring an equivalent constrained/RBCD replacement first can break the legitimate double-hop authentication scenario it was supporting, so this needs discovery of what the account/computer actually delegates to.","Unconstrained delegation is one of the most consequential AD misconfigurations (a compromised host with this flag can capture and reuse TGTs of any user who authenticates to it), but removing it without a replacement delegation model will break whatever legitimate multi-hop authentication currently depends on it.","Easy - revert the TRUSTED_FOR_DELEGATION flag; effective at next Kerberos ticket request, no data loss.","",""
"Replication Security","Unauthorized DCSync Permissions","Critical","synthetic-object-7.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Unauthorized DCSync Permissions', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Unauthorized DCSync Permissions'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Unauthorized DCSync Permissions'.","09/21/2026 20:17:13","T1003.006","vuln1_dcsync","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - removing two specific extended-right ACEs (Replicating Directory Changes / Replicating Directory Changes All) from one object, a well-scoped ACE change.","Legitimate DCSync-capable accounts are normally limited to Domain Controllers, Domain/Enterprise Admins, and directory-sync tools like Azure AD Connect; removing an unauthorized grant has no legitimate compatibility impact unless it turns out to be an undocumented, currently-in-use sync or identity-governance tool, so confirm no such tool depends on it.","Moderate - export the domain object's ACL before removing the specific extended-right ACEs so they can be restored if a legitimate sync tool is affected; changes follow normal AD replication.","",""
"Domain Trusts","Trust Configured for Privileged Identity Management (PIM_TRUST)","Critical","synthetic-object-8.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Trust Configured for Privileged Identity Management (PIM_TRUST)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Trust Configured for Privileged Identity Management (PIM_TRUST)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Trust Configured for Privileged Identity Management (PIM_TRUST)'.","09/21/2026 20:17:13","T1558","vuln1_pim_trust","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - a single trust-attribute bit toggle, but confirm with the trust's owning teams before clearing it, since PIM trusts are typically deliberate cross-forest identity-management configurations.","Clearing PIM_TRUST restores standard SID filtering across the trust, which will break any legitimate Privileged Identity Management workflow that currently depends on the relaxed filtering - confirm the trust's purpose with its owning teams before changing it.","Easy - the attribute can be re-set if a legitimate dependency surfaces; effective immediately, no data loss.","",""
"Replication Security","SPN-Holding Account Also Has DCSync Rights","Critical","synthetic-object-9.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'SPN-Holding Account Also Has DCSync Rights', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'SPN-Holding Account Also Has DCSync Rights'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'SPN-Holding Account Also Has DCSync Rights'.","09/21/2026 20:17:13","T1003.006","vuln1_spn_dcsync_chain","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - the same single-ACE removal already scoped in the standalone Unauthorized DCSync Permissions finding for this account, or a routine SPN removal/service-account migration, whichever side is decided on.","Removing DCSync rights or an SPN from an account that turns out to be a legitimate directory-sync or service account will break that tool/service until re-provisioned correctly (e.g. via a dedicated gMSA without DCSync rights) - confirm the account's actual purpose before changing either side.","Moderate - export the current ACL and/or SPN value before changing either side so it can be restored if a legitimate dependency surfaces.","",""
"Legacy Auth & Name Poisoning","SMBv1 Enabled / Not Disabled by Policy","Critical","synthetic-object-10.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'SMBv1 Enabled / Not Disabled by Policy', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'SMBv1 Enabled / Not Disabled by Policy'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'SMBv1 Enabled / Not Disabled by Policy'.","09/21/2026 20:17:13","T1210","vuln1_smbv1_enabled","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - disabling SMBv1 requires confirming no legacy device (old NAS, printer, embedded scanner, very old OS) still requires it, since this is a widely documented historical dependency.","Many legacy or embedded devices (older printers/scanners/NAS, very old Windows/Samba versions) only support SMBv1 and will lose file/print connectivity once it's disabled.","Easy - re-enable the SMBv1 feature/GPO setting; effective after a restart/policy refresh, no data loss.","",""
